frame,time_seconds,visibility
985,32.83,No Logo
986,32.87,No Logo
987,32.9,No Logo
988,32.93,No Logo
989,32.97,No Logo
990,33.0,No Logo
991,33.03,No Logo
992,33.07,No Logo
993,33.1,No Logo
994,33.13,No Logo
995,33.17,No Logo
996,33.2,No Logo
997,33.23,No Logo
998,33.27,No Logo
999,33.3,No Logo
1000,33.33,No Logo
1001,33.37,No Logo
1002,33.4,No Logo
1003,33.43,No Logo
1004,33.47,No Logo
1005,33.5,No Logo
1006,33.53,No Logo
1007,33.57,No Logo
1008,33.6,No Logo
1009,33.63,No Logo
1010,33.67,No Logo
1011,33.7,No Logo
1012,33.73,No Logo
1013,33.77,No Logo
1014,33.8,No Logo
1015,33.83,No Logo
1016,33.87,No Logo
1017,33.9,No Logo
1018,33.93,No Logo
1019,33.97,No Logo
1020,34.0,No Logo
1021,34.03,No Logo
1022,34.07,No Logo
1023,34.1,No Logo
1024,34.13,No Logo
1025,34.17,No Logo
1026,34.2,No Logo
1027,34.23,No Logo
1028,34.27,No Logo
1029,34.3,No Logo
1030,34.33,No Logo
1031,34.37,No Logo
1032,34.4,No Logo
1033,34.43,No Logo
1034,34.47,No Logo
1035,34.5,No Logo
1036,34.53,No Logo
1037,34.57,No Logo
1038,34.6,No Logo
1039,34.63,No Logo
1040,34.67,No Logo
1041,34.7,No Logo
1042,34.73,No Logo
1043,34.77,No Logo
1044,34.8,No Logo
1045,34.83,No Logo
1046,34.87,No Logo
1047,34.9,No Logo
1048,34.93,No Logo
1049,34.97,No Logo
1050,35.0,No Logo
1051,35.03,No Logo
1052,35.07,No Logo
1053,35.1,No Logo
1054,35.13,No Logo
1055,35.17,No Logo
1056,35.2,No Logo
1057,35.23,No Logo
1058,35.27,No Logo
1059,35.3,No Logo
1060,35.33,No Logo
1061,35.37,No Logo
1062,35.4,No Logo
1063,35.43,No Logo
1064,35.47,No Logo
1065,35.5,No Logo
1066,35.53,No Logo
1067,35.57,No Logo
1068,35.6,No Logo
1069,35.63,No Logo
1070,35.67,No Logo
1071,35.7,No Logo
1072,35.73,No Logo
1073,35.77,No Logo
1074,35.8,No Logo
1075,35.83,No Logo
1076,35.87,No Logo
1077,35.9,No Logo
1078,35.93,No Logo
1079,35.97,No Logo
1080,36.0,No Logo
1081,36.03,No Logo
1082,36.07,No Logo
1083,36.1,No Logo
1084,36.13,No Logo
1085,36.17,No Logo
1086,36.2,No Logo
1087,36.23,No Logo
1088,36.27,No Logo
1089,36.3,No Logo
1090,36.33,No Logo
1091,36.37,No Logo
1092,36.4,No Logo
1093,36.43,No Logo
1094,36.47,No Logo
1095,36.5,No Logo
1096,36.53,No Logo
1097,36.57,No Logo
1098,36.6,No Logo
1099,36.63,No Logo
1100,36.67,No Logo
1101,36.7,No Logo
1102,36.73,No Logo
1103,36.77,No Logo
1104,36.8,No Logo
1105,36.83,No Logo
1106,36.87,No Logo
1107,36.9,No Logo
1108,36.93,No Logo
1109,36.97,No Logo
1110,37.0,No Logo
1111,37.03,No Logo
1112,37.07,No Logo
1113,37.1,No Logo
1114,37.13,No Logo
1115,37.17,No Logo
1116,37.2,No Logo
1117,37.23,No Logo
1118,37.27,No Logo
1119,37.3,No Logo
1120,37.33,No Logo
1121,37.37,No Logo
1122,37.4,No Logo
1123,37.43,No Logo
1124,37.47,No Logo
1125,37.5,No Logo
1126,37.53,No Logo
1127,37.57,No Logo
1128,37.6,No Logo
1129,37.63,No Logo
1130,37.67,No Logo
